Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
25-34,20001-35000,Tourist,East Asian,Few regulars,Multiple/week,175.28,Dinner,Weekdays,Dine-in,2 people,>15km,Asian,Depends on occasion,Mall,Very sensitive,Definitely yes,Neutral,Extremely important,15%,No impact,Oct-Dec,3,"Long delivery time, Crowded restaurants, Long wait times, Unpredictable pricing","Low-demand discounts, Group dining deals, Table availability",Medium,0.9,55.9,175.28,157.75,10.0,,,3,Yes
18-24,5000-10000,Student,African,Few regulars,Rarely,175.51,Lunch,Both,Delivery App,5+,<3km,Western,Premium/Fine Dining,Deira,Moderately sensitive,Probably yes,Neutral,Extremely important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec",4,"Long delivery time, Long wait times","Real-time pricing, Wait time estimate",Medium,1.12,,175.51,196.57,0.0,1.4,16.0,4,Yes
35-44,20001-35000,Tourist,African,Few regulars,Multiple/week,91.47,Late Night,Both,Delivery App,Alone,3-7km,Western,Mid-range,Downtown,Slightly sensitive,Definitely yes,Neutral,Very important,10%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Jan-Mar",3,"Long delivery time, Limited discounts","Wait time estimate, Demand alerts, Real-time pricing",High,1.17,,91.47,107.02,0.0,7.0,33.0,3,Yes
25-34,10001-20000,Family,Arab,Loyal to 1-2,Once/week,121.13,Dinner,Both,Delivery App,5+,7-15km,Indian/Pakistani,Budget/Casual,Downtown,Very sensitive,Probably yes,Very fair,Moderately important,10%,Switch to delivery in heat,Jan-Mar,2,Hard to find tables,Group dining deals,High,1.18,,121.13,142.93,0.0,10.1,41.0,2,Yes
25-34,20001-35000,Professional,African,Loyal to 1-2,2-3/month,89.43,Lunch,Weekends,Dine-in,Alone,3-7km,Indian/Pakistani,Mid-range,Marina,Moderately sensitive,Probably yes,Very fair,Very important,10%,Dine-in more during heat,Jul-Sep,5,"Long wait times, Unpredictable pricing, Limited discounts",Table availability,Medium,0.96,77.7,89.43,85.85,4.0,,,5,No
35-44,<5000,Student,Western Expat,Explorer,2-3/month,40.82,Late Night,Both,Dine-in,2 people,3-7km,Western,Depends on occasion,Mall,Moderately sensitive,Probably yes,Neutral,Extremely important,10%,Dine-in more during heat,"Oct-Dec, Jan-Mar",3,"Crowded restaurants, Long wait times, Long delivery time","Personalised discounts, Wait time estimate, Group dining deals",High,1.19,58.5,40.82,48.58,0.0,,,3,Yes
25-34,5000-10000,Professional,South Asian,Explorer,Once/week,50.46,Lunch,Weekends,Takeaway,2 people,3-7km,Fast Food,Budget/Casual,Mall,Very sensitive,Probably yes,Very fair,Extremely important,15%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun, Jul-Sep",3,Limited discounts,"Real-time pricing, Low-demand discounts, Group dining deals",Medium,0.95,,50.46,47.94,5.0,5.3,33.0,3,Yes
18-24,<5000,Student,East Asian,Few regulars,Once/week,60.1,Dinner,Both,Dine-in,3-4 people,7-15km,Asian,Depends on occasion,Deira,Not sensitive,Probably not,Very fair,Not important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Apr-Jun",4,"Hard to find tables, Long wait times","Personalised discounts, Wait time estimate, Real-time pricing",High,1.16,96.0,60.1,69.72,0.0,,,4,No
18-24,10001-20000,Family,South Asian,Loyal to 1-2,Multiple/week,129.91,Dinner,Both,Delivery App,3-4 people,7-15km,Western,Mid-range,Mall,Not sensitive,Definitely yes,Neutral,Not important,10%,Switch to delivery in heat,Oct-Dec,3,Unpredictable pricing,"Personalised discounts, Wait time estimate, Loyalty rewards",High,1.16,,129.91,150.7,0.0,8.9,37.0,3,Yes
45-54,20001-35000,Tourist,Western Expat,Explorer,2-3/month,231.85,Lunch,Weekends,Dine-in,5+,<3km,Western,Mid-range,Mall,Moderately sensitive,Probably not,Neutral,Very important,20%,No impact,Jul-Sep,4,"Long wait times, Long delivery time","Table availability, Low-demand discounts, Personalised discounts, Loyalty rewards",Medium,0.99,72.8,231.85,229.53,1.0,,,4,No
18-24,<5000,Student,South Asian,Explorer,Rarely,66.78,Dinner,Weekends,Delivery App,5+,<3km,Fast Food,Mid-range,JBR,Very sensitive,Maybe,Somewhat fair,Very important,20%,No impact,"Jan-Mar, Jul-Sep",5,Unpredictable pricing,"Low-demand discounts, Real-time pricing",High,1.2,,66.78,80.14,0.0,1.2,26.0,5,Yes
35-44,10001-20000,Family,South Asian,Loyal to 1-2,Once/week,63.0,Lunch,Weekends,Dine-in,Alone,3-7km,Asian,Mid-range,DIFC,Moderately sensitive,Maybe,Unfair,Extremely important,>20%,Dine-in more during heat,Oct-Dec,4,"Long delivery time, High weekend prices",Table availability,Medium,1.05,67.4,63.0,66.15,0.0,,,4,No
18-24,10001-20000,Student,Western Expat,Loyal to 1-2,2-3/month,19.75,Lunch,Weekends,Dine-in,Alone,3-7km,Healthy/Vegan,Mid-range,Mall,Moderately sensitive,Maybe,Neutral,Very important,20%,Dine-in more during heat,"Jan-Mar, Jul-Sep, Oct-Dec",4,High delivery fees,Loyalty rewards,Medium,1.04,59.4,19.75,20.54,0.0,,,4,Yes
25-34,20001-35000,Professional,African,Loyal to 1-2,Once/week,133.42,Dinner,Weekends,Dine-in,Alone,<3km,Asian,Mid-range,Downtown,Slightly sensitive,Probably yes,Very fair,Slightly important,10%,Dine-in more during heat,"Oct-Dec, Jan-Mar",3,"Limited discounts, High delivery fees, High weekend prices","Wait time estimate, Demand alerts",High,1.1,83.2,133.42,146.76,0.0,,,3,No
35-44,10001-20000,Family,South Asian,Few regulars,Once/week,106.22,Dinner,Both,Delivery App,2 people,3-7km,Western,Mid-range,Business Bay,Moderately sensitive,Maybe,Very fair,Very important,10%,Switch to delivery in heat,Oct-Dec,4,"Long wait times, Long delivery time, High weekend prices, High delivery fees","Personalised discounts, Wait time estimate, Real-time pricing",High,1.29,,106.22,137.02,0.0,6.0,30.0,4,Yes
35-44,20001-35000,Professional,South Asian,Loyal to 1-2,Rarely,247.1,Lunch,Weekdays,Delivery App,2 people,3-7km,Indian/Pakistani,Premium/Fine Dining,Business Bay,Moderately sensitive,Definitely not,Neutral,Extremely important,20%,Outdoor dining in pleasant weather,"Apr-Jun, Oct-Dec, Jan-Mar",4,"Crowded restaurants, Unpredictable pricing, Limited discounts","Loyalty rewards, Wait time estimate, Real-time pricing",Medium,1.13,,247.1,279.22,0.0,5.8,25.0,4,No
25-34,10001-20000,Family,Western Expat,Loyal to 1-2,Once/month,162.69,Late Night,Both,Takeaway,5+,3-7km,Indian/Pakistani,Mid-range,Downtown,Very sensitive,Definitely yes,Very unfair,Moderately important,20%,Dine-in more during heat,Oct-Dec,5,"Long wait times, Unpredictable pricing","Personalised discounts, Loyalty rewards, Wait time estimate",High,1.13,,162.69,183.84,0.0,6.0,27.0,5,Yes
55+,10001-20000,Professional,South Asian,Explorer,Once/week,91.5,Lunch,Both,Delivery App,2 people,3-7km,Asian,Mid-range,Marina,Moderately sensitive,Probably yes,Unfair,Very important,10%,Switch to delivery in heat,Oct-Dec,2,"High weekend prices, Unpredictable pricing","Wait time estimate, Personalised discounts",Medium,1.0,,91.5,91.5,0.0,4.6,24.0,2,Yes
35-44,>35000,Family,Western Expat,Loyal to 1-2,Once/week,498.08,Lunch,Both,Dine-in,3-4 people,3-7km,Healthy/Vegan,Premium/Fine Dining,DIFC,Slightly sensitive,Definitely yes,Very unfair,Slightly important,20%,Switch to delivery in heat,Jul-Sep,3,"Hard to find tables, High weekend prices, High delivery fees, Crowded restaurants","Low-demand discounts, Personalised discounts, Demand alerts",Medium,1.05,57.6,498.08,522.98,0.0,,,3,Yes
45-54,>35000,Family,South Asian,Explorer,Once/month,411.07,Dinner,Both,Delivery App,2 people,<3km,Asian,Premium/Fine Dining,Downtown,Slightly sensitive,Probably not,Somewhat fair,Not important,5%,Switch to delivery in heat,Jan-Mar,1,High delivery fees,"Demand alerts, Group dining deals, Low-demand discounts",High,1.29,,411.07,530.28,0.0,2.0,17.0,1,No
25-34,20001-35000,Professional,Arab,Explorer,Multiple/week,101.81,Dinner,Weekends,Dine-in,Alone,<3km,Western,Mid-range,Marina,Not sensitive,Maybe,Somewhat fair,Moderately important,5%,Dine-in more during heat,Jul-Sep,4,"Unpredictable pricing, Long wait times","Wait time estimate, Table availability, Group dining deals, Real-time pricing",Medium,0.93,43.7,101.81,94.68,7.0,,,4,Yes
25-34,5000-10000,Tourist,South Asian,Few regulars,2-3/month,109.53,Lunch,Weekends,Dine-in,5+,>15km,Western,Depends on occasion,Marina,Very sensitive,Probably yes,Very fair,Very important,15%,No impact,"Oct-Dec, Apr-Jun, Jan-Mar",3,"High weekend prices, Long delivery time, Limited discounts","Low-demand discounts, Real-time pricing",Medium,1.02,75.7,109.53,111.72,0.0,,,3,Yes
18-24,<5000,Tourist,Arab,Few regulars,Multiple/week,51.29,Dinner,Both,Dine-in,2 people,<3km,Western,Depends on occasion,Mall,Not sensitive,Definitely not,Neutral,Slightly important,15%,Switch to delivery in heat,"Apr-Jun, Oct-Dec",2,"Crowded restaurants, High delivery fees, High weekend prices","Personalised discounts, Wait time estimate, Loyalty rewards",High,1.15,84.3,51.29,58.98,0.0,,,2,No
25-34,20001-35000,Professional,South Asian,Explorer,2-3/month,161.05,Lunch,Weekdays,Delivery App,2 people,3-7km,Indian/Pakistani,Mid-range,DIFC,Slightly sensitive,Probably not,Very unfair,Moderately important,20%,Switch to delivery in heat,"Apr-Jun, Jul-Sep",4,"Hard to find tables, Unpredictable pricing, Long wait times, Crowded restaurants","Table availability, Wait time estimate, Personalised discounts, Real-time pricing",Low,0.83,,161.05,133.67,17.0,3.7,24.0,4,Yes
25-34,5000-10000,Professional,Arab,Loyal to 1-2,Rarely,59.78,Lunch,Both,Delivery App,3-4 people,<3km,Indian/Pakistani,Budget/Casual,Deira,Very sensitive,Probably yes,Neutral,Not important,>20%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",5,"High weekend prices, Hard to find tables, Limited discounts","Loyalty rewards, Low-demand discounts, Real-time pricing",Medium,0.99,,59.78,59.18,1.0,2.8,35.0,5,Yes
25-34,10001-20000,Family,South Asian,Explorer,Multiple/week,179.81,Lunch,Weekdays,Delivery App,5+,>15km,Indian/Pakistani,Mid-range,Mall,Slightly sensitive,Maybe,Very unfair,Moderately important,15%,Dine-in more during heat,"Apr-Jun, Jan-Mar, Oct-Dec",4,"Long delivery time, High delivery fees, Limited discounts, High weekend prices","Personalised discounts, Demand alerts",Medium,1.03,,179.81,185.2,0.0,17.8,62.0,4,Yes
55+,>35000,Family,Arab,Loyal to 1-2,Once/week,309.09,Late Night,Weekdays,Delivery App,3-4 people,7-15km,Fast Food,Depends on occasion,DIFC,Not sensitive,Maybe,Somewhat fair,Not important,10%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun, Jan-Mar",5,"Crowded restaurants, High delivery fees, Limited discounts, Hard to find tables","Low-demand discounts, Wait time estimate",Medium,1.0,,309.09,309.09,0.0,10.9,41.0,5,Yes
35-44,<5000,Professional,Western Expat,Few regulars,2-3/month,27.59,Dinner,Both,Takeaway,2 people,<3km,Asian,Budget/Casual,Downtown,Very sensitive,Definitely yes,Neutral,Very important,15%,No impact,"Oct-Dec, Apr-Jun",3,"Hard to find tables, High delivery fees","Personalised discounts, Wait time estimate, Low-demand discounts, Real-time pricing",High,1.17,,27.59,32.28,0.0,2.9,20.0,3,Yes
25-34,5000-10000,Professional,Western Expat,Loyal to 1-2,2-3/month,67.73,Dinner,Both,Dine-in,3-4 people,3-7km,Western,Mid-range,Deira,Very sensitive,Probably yes,Somewhat fair,Extremely important,20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",3,"Hard to find tables, High delivery fees",Loyalty rewards,High,1.16,84.2,67.73,78.57,0.0,,,3,No
35-44,>35000,Tourist,Arab,Few regulars,Multiple/week,334.62,Lunch,Weekends,Restaurant App,Alone,<3km,Healthy/Vegan,Premium/Fine Dining,Downtown,Not sensitive,Maybe,Very unfair,Moderately important,15%,Outdoor dining in pleasant weather,"Apr-Jun, Jan-Mar",5,High delivery fees,Real-time pricing,Medium,1.1,,334.62,368.08,0.0,1.9,24.0,5,No
45-54,20001-35000,Professional,South Asian,Loyal to 1-2,Once/week,15.0,Breakfast,Weekends,Delivery App,Alone,3-7km,Indian/Pakistani,Budget/Casual,Marina,Slightly sensitive,Definitely not,Unfair,Slightly important,10%,Outdoor dining in pleasant weather,"Jul-Sep, Jan-Mar, Oct-Dec",5,"High delivery fees, Long delivery time, Limited discounts, Long wait times","Loyalty rewards, Table availability",Medium,0.97,,15.0,14.55,3.0,3.5,19.0,5,Yes
25-34,10001-20000,Student,Western Expat,Few regulars,Once/week,91.95,Breakfast,Weekdays,Restaurant App,2 people,<3km,Western,Mid-range,Mall,Very sensitive,Probably not,Very fair,Extremely important,15%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Apr-Jun",3,"Crowded restaurants, Limited discounts, High weekend prices, Unpredictable pricing","Group dining deals, Wait time estimate",Medium,1.05,,91.95,96.55,0.0,2.4,20.0,3,Yes
25-34,<5000,Tourist,South Asian,Explorer,2-3/month,42.59,Lunch,Both,Delivery App,2 people,<3km,Indian/Pakistani,Budget/Casual,Mall,Very sensitive,Maybe,Somewhat fair,Moderately important,20%,No impact,Apr-Jun,5,"High weekend prices, Hard to find tables, Long wait times, High delivery fees","Table availability, Group dining deals, Low-demand discounts, Demand alerts",Medium,0.88,,42.59,37.48,12.0,2.1,17.0,5,Yes
35-44,20001-35000,Professional,South Asian,Loyalty program user,Multiple/week,131.17,Late Night,Weekends,Dine-in,2 people,<3km,Indian/Pakistani,Mid-range,DIFC,Very sensitive,Probably not,Unfair,Extremely important,20%,Switch to delivery in heat,Oct-Dec,4,"Crowded restaurants, High weekend prices",Group dining deals,High,1.31,73.7,131.17,171.83,0.0,,,4,No
18-24,5000-10000,Student,African,Explorer,2-3/month,43.46,Dinner,Both,Dine-in,Alone,<3km,Fast Food,Budget/Casual,Deira,Very sensitive,Definitely not,Neutral,Very important,>20%,Switch to delivery in heat,Oct-Dec,3,"Unpredictable pricing, Long delivery time, Limited discounts","Real-time pricing, Wait time estimate, Group dining deals",High,1.25,0.0,43.46,54.32,0.0,,,3,Yes
25-34,10001-20000,Tourist,South Asian,Explorer,Once/week,95.46,Lunch,Both,Dine-in,2 people,3-7km,Indian/Pakistani,Mid-range,Marina,Moderately sensitive,Probably yes,Unfair,Extremely important,10%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",3,Hard to find tables,Personalised discounts,Medium,0.99,56.1,95.46,94.51,1.0,,,3,Yes
55+,5000-10000,Family,South Asian,Few regulars,2-3/month,112.01,Breakfast,Weekends,Delivery App,2 people,<3km,Healthy/Vegan,Premium/Fine Dining,Business Bay,Slightly sensitive,Definitely yes,Somewhat fair,Slightly important,5%,Switch to delivery in heat,Oct-Dec,2,"Unpredictable pricing, High weekend prices","Wait time estimate, Personalised discounts",Medium,1.09,,112.01,122.09,0.0,3.0,29.0,2,Yes
25-34,5000-10000,Professional,South Asian,Loyal to 1-2,2-3/month,42.51,Dinner,Weekdays,Delivery App,3-4 people,7-15km,Healthy/Vegan,Budget/Casual,DIFC,Moderately sensitive,Definitely yes,Somewhat fair,Extremely important,10%,Switch to delivery in heat,Jul-Sep,3,Unpredictable pricing,"Low-demand discounts, Table availability, Loyalty rewards",Medium,0.98,,42.51,41.66,2.0,8.0,39.0,3,Yes
18-24,<5000,Student,Arab,Loyal to 1-2,Rarely,41.74,Lunch,Weekdays,Delivery App,Alone,3-7km,Healthy/Vegan,Depends on occasion,Business Bay,Moderately sensitive,Definitely yes,Neutral,Very important,15%,No impact,"Oct-Dec, Jan-Mar",4,"Long wait times, Crowded restaurants, High weekend prices, High delivery fees","Real-time pricing, Personalised discounts, Loyalty rewards",Medium,1.0,,41.74,41.74,0.0,6.0,33.0,4,Yes
25-34,5000-10000,Professional,South Asian,Few regulars,Once/week,99.12,Dinner,Weekends,Delivery App,5+,3-7km,Indian/Pakistani,Mid-range,Mall,Very sensitive,Definitely yes,Very fair,Slightly important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jul-Sep",2,"High weekend prices, Crowded restaurants, Long delivery time",Personalised discounts,High,1.25,,99.12,123.9,0.0,5.8,30.0,2,Yes
25-34,<5000,Family,South Asian,Explorer,Once/week,60.06,Dinner,Both,Dine-in,3-4 people,3-7km,Fast Food,Mid-range,Mall,Very sensitive,Maybe,Very unfair,Very important,20%,No impact,Oct-Dec,4,Unpredictable pricing,"Demand alerts, Group dining deals",High,1.23,76.6,60.06,73.87,0.0,,,4,Yes
25-34,20001-35000,Professional,South Asian,Loyal to 1-2,Once/week,158.94,Late Night,Weekends,Dine-in,3-4 people,>15km,Asian,Mid-range,Marina,Very sensitive,Probably not,Very fair,Very important,10%,No impact,"Jul-Sep, Oct-Dec",4,Crowded restaurants,"Low-demand discounts, Loyalty rewards, Wait time estimate",High,1.16,66.4,158.94,184.37,0.0,,,4,Yes
25-34,10001-20000,Family,Arab,Loyal to 1-2,Once/week,215.51,Late Night,Weekends,Dine-in,3-4 people,<3km,Arabic,Premium/Fine Dining,Deira,Moderately sensitive,Maybe,Neutral,Very important,>20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",5,"High delivery fees, Hard to find tables",Demand alerts,High,1.31,71.8,215.51,282.32,0.0,,,5,Yes
25-34,10001-20000,Tourist,Arab,Loyal to 1-2,Multiple/week,197.4,Breakfast,Both,Takeaway,5+,3-7km,Healthy/Vegan,Depends on occasion,Mall,Moderately sensitive,Definitely not,Somewhat fair,Very important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",5,"Long delivery time, High weekend prices","Demand alerts, Personalised discounts",Medium,0.93,,197.4,183.58,7.0,3.6,21.0,5,No
35-44,10001-20000,Professional,South Asian,Loyal to 1-2,Once/week,111.85,Dinner,Weekends,Delivery App,2 people,3-7km,Indian/Pakistani,Depends on occasion,Mall,Slightly sensitive,Maybe,Neutral,Not important,20%,No impact,Jul-Sep,4,"Hard to find tables, High delivery fees, High weekend prices, Limited discounts",Low-demand discounts,Medium,1.04,,111.85,116.32,0.0,5.8,35.0,4,No
25-34,5000-10000,Professional,South Asian,Loyalty program user,Rarely,49.15,Dinner,Weekends,Delivery App,Alone,3-7km,Indian/Pakistani,Depends on occasion,Downtown,Moderately sensitive,Probably yes,Very fair,Not important,20%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",4,"Long delivery time, High delivery fees, Long wait times, Crowded restaurants",Loyalty rewards,High,1.16,,49.15,57.01,0.0,3.4,23.0,4,Yes
45-54,>35000,Professional,South Asian,Loyal to 1-2,Multiple/week,415.83,Dinner,Weekends,Delivery App,2 people,7-15km,Indian/Pakistani,Premium/Fine Dining,Marina,Slightly sensitive,Probably not,Very unfair,Not important,5%,Switch to delivery in heat,Apr-Jun,3,Unpredictable pricing,"Table availability, Personalised discounts",Medium,1.12,,415.83,465.73,0.0,9.7,42.0,3,Yes
35-44,5000-10000,Tourist,East Asian,Explorer,Once/month,55.33,Lunch,Both,Dine-in,2 people,<3km,Asian,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Very unfair,Very important,20%,Outdoor dining in pleasant weather,Jan-Mar,5,"Crowded restaurants, High weekend prices","Personalised discounts, Wait time estimate",Medium,0.96,81.1,55.33,53.12,4.0,,,5,No
25-34,>35000,Professional,South Asian,Few regulars,2-3/month,295.32,Late Night,Both,Takeaway,Alone,<3km,Asian,Premium/Fine Dining,Downtown,Moderately sensitive,Definitely not,Very fair,Extremely important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun",4,"Crowded restaurants, Unpredictable pricing, High delivery fees","Group dining deals, Low-demand discounts, Wait time estimate",High,1.37,,295.32,404.59,0.0,2.8,23.0,4,Yes
25-34,10001-20000,Student,Western Expat,Explorer,Once/week,113.27,Lunch,Both,Delivery App,2 people,3-7km,Fast Food,Mid-range,Business Bay,Very sensitive,Probably yes,Very unfair,Extremely important,15%,Dine-in more during heat,Oct-Dec,4,"High weekend prices, High delivery fees, Limited discounts, Long wait times","Wait time estimate, Real-time pricing",Medium,1.06,,113.27,120.07,0.0,3.3,21.0,4,Yes
18-24,5000-10000,Student,East Asian,Few regulars,2-3/month,21.02,Lunch,Weekdays,Restaurant App,Alone,3-7km,Fast Food,Budget/Casual,Mall,Moderately sensitive,Probably not,Very fair,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",5,"Unpredictable pricing, High delivery fees, High weekend prices","Table availability, Demand alerts",Medium,0.91,,21.02,19.13,9.0,6.8,29.0,5,Yes
